OrderID;OrderDate;CustomerID;FirstName;LastName;Email;Phone;City;Province;Region;SignupDate;ProductCode;ProductName;Category;Quantity;UnitPrice;DiscountPct;ShippingCost;PaymentMethod;SalesChannel;OrderStatus;DeliveryDate;Revenue
ORD000001;2024-10-23 02:29:44;1001;Chiara;Caruso;chiara.caruso670@azienda.it;+39 347 1972652;Milano;MI;Lombardia;2022-07-27;P012;Tablet 11 pollici;Informatica;2;374.53;0;0.00;Contrassegno;Telefono;Consegnato;2024-10-27;749.06
ORD000002;2025-08-31 17:04:36;2178;Francesca;Romano;francesca.romano384@outlook.it;+39 347 8626247;Firenze;FI;Toscana;2024-02-03;P012;Tablet 11 pollici;Informatica;4;381.47;20;0.00;Contrassegno;Marketplace;Consegnato;2025-09-03;1220.70
ORD000003;2025-12-30 02:47:40;865;Luca;Costa;;+39 347 1359549;Bologna;BO;Emilia-Romagna;2023-09-27;P007;Scrivania regolabile;Arredo;1;437.57;0;0.00;Contrassegno;Negozio;In lavorazione;;437.57
ORD000004;2024-09-03 18:30:25;259;Matteo;Esposito;matteo.esposito836@gmail.com;+39 349 9347815;Cagliari;CA;Sardegna;2022-08-17;P008;Webcam HD;Accessori;1;58.97;25;8.90;PayPal;Marketplace;Consegnato;2024-09-10;53.13
ORD000005;2024-01-18 12:33:35;2247;Francesca;Romano;francesca.romano697@gmail.com;+39 349 5622374;Cagliari;CA;Sardegna;2023-09-03;P014;Lampada da tavolo;Arredo;1;47.62;0;12.90;PayPal;Negozio;Consegnato;2024-01-28;60.52
ORD000006;2024-07-01 16:20:42;1206;Andrea;Marino;andrea.marino188@gmail.com;+39 333 9400693;Firenze;FI;Toscana;2024-09-04;P014;Lampada da tavolo;Arredo;1;45.55;0;4.90;Contrassegno;Marketplace;Annullato;;50.45
ORD000007;2024-11-12 05:27:25;705;Alessandro;Rossi;alessandro.rossi516@libero.it;+39 333 8145584;Roma;RM;Lazio;2024-09-14;P006;Sedia ergonomica;Arredo;1;352.85;5;0.00;Contrassegno;Telefono;Consegnato;2024-11-22;335.21
ORD000008;2025-06-06 17:34:09;1787;Laura;Bruno;laura.bruno915@gmail.com;+39 347 4762066;Verona;VR;Veneto;2023-04-07;P015;Microfono USB;Audio;1;95.71;0;8.90;Carta di credito;Negozio;Consegnato;2025-06-13;104.61
ORD000009;2025-09-02 09:17:01;428;Stefano;Gallo;stefano.gallo618@azienda.it;+39 366 1909357;Milano;MI;Lombardia;2024-04-20;P015;Microfono USB;Audio;1;88.50;0;12.90;Carta di credito;Marketplace;Consegnato;2025-09-04;101.40
ORD000010;2024-10-03 17:49:23;2339;Beatrice;Fontana;beatrice.fontana979@libero.it;+39 366 8584180;Firenze;FI;Toscana;2023-06-10;P001;Notebook Pro 14;Informatica;1;948.48;0;0.00;PayPal;Marketplace;Consegnato;2024-10-06;948.48
ORD000011;2025-04-22 00:50:31;1258;Francesca;Esposito;francesca.esposito897@azienda.it;+39 333 7726253;Firenze;FI;Toscana;2022-05-12;P001;Notebook Pro 14;Informatica;2;921.84;5;0.00;Contrassegno;Negozio;Consegnato;2025-04-26;1751.50
ORD000012;2025-11-05 08:43:37;988;Martina;Rossi;martina.rossi573@gmail.com;+39 349 4596444;Genova;GE;Liguria;2022-03-02;P003;Mouse wireless;Accessori;2;29.19;0;12.90;PayPal;E-commerce;Consegnato;2025-11-12;71.28
ORD000013;2025-12-12 03:33:13;1343;Laura;Fontana;laura.fontana517@outlook.it;+39 320 6045568;Roma;RM;Lazio;2023-11-17;P009;Cuffie Bluetooth;Audio;2;120.49;0;6.90;Carta di credito;Marketplace;Consegnato;2025-12-13;247.88
ORD000014;2025-02-09 18:26:14;444;Sara;Moretti;sara.moretti263@gmail.com;+39 320 1057958;Bari;BA;Puglia;2022-05-08;P011;SSD 1TB;Informatica;1;97.04;0;4.90;Carta di credito;Telefono;In lavorazione;;101.94
ORD000015;2025-08-01 16:53:10;1991;Alessandro;Bianchi;alessandro.bianchi304@gmail.com;+39 333 4925040;Firenze;FI;Toscana;2022-04-19;P004;Tastiera meccanica;Accessori;2;75.54;0;4.90;Contrassegno;Telefono;Consegnato;2025-08-11;155.98
ORD000016;2024-08-04 19:15:24;893; LAURA ;Greco;laura.greco887@azienda.it;+39 347 5070206;Napoli;NA;Campania;2025-02-13;P006;Sedia ergonomica;Arredo;1;343.08;0;0.00;Carta di credito;E-commerce;Consegnato;2024-08-06;343.08
ORD000017;2024-04-11 14:34:24;2032;Andrea;Rossi;andrea.rossi654@libero.it;+39 320 2463601;Cagliari;CA;Sardegna;2022-05-01;P012;Tablet 11 pollici;Informatica;2;376.57;0;0.00;Carta di credito;E-commerce;Spedito;2024-04-20;753.14
ORD000018;2025-06-02 12:05:01;1578;Giulia;Caruso;giulia.caruso762@gmail.com;+39 320 2745829;Cagliari;CA;Sardegna;2023-05-19;P011;SSD 1TB;Informatica;3;101.99;0;0.00;Bonifico;Telefono;Consegnato;2025-06-06;305.97
ORD000019;2024-07-29 18:50:02;2377;Francesca;Ricci;francesca.ricci945@libero.it;+39 333 5250493;Firenze;FI;Toscana;2022-11-28;P001;Notebook Pro 14;Informatica;1;848.74;10;0.00;Carta di credito;Marketplace;Consegnato;2024-08-07;763.87
ORD000020;2025-01-16 02:09:26;1687;Alessandro;Lombardi;alessandro.lombardi265@gmail.com;+39 347 5979406;Verona;VR;Veneto;2022-02-15;P009;Cuffie Bluetooth;Audio;1;111.67;5;6.90;Contrassegno;Telefono;Consegnato;2025-01-17;112.99
ORD000021;2025-07-26 03:31:39;698;Federico;Caruso;federico.caruso374@gmail.com;+39 333 1509036;Genova;GE;Liguria;2025-01-11;P010;Router Wi-Fi 6;Rete;2;145.85;0;0.00;Bonifico;E-commerce;In lavorazione;;291.70
