OrderLineID;OrderID;OrderDate;CustomerID;CustomerFirstName;CustomerLastName;CustomerEmail;CustomerPhone;CustomerCity;CustomerProvince;CustomerRegion;CustomerSegment;CustomerSignupDate;SalesRepID;SalesRepFirstName;SalesRepLastName;SalesRepEmail;SalesArea;ProductCode;ProductName;Category;Brand;UnitPriceEUR;Quantity;DiscountPct;WarehouseID;WarehouseName;WarehouseCity;WarehouseProvince;SalesChannel;PaymentMethod;OrderStatus;DeliveryDate;ShippingCostEUR;LineRevenueEUR
OL00000001;O0000001;2025-07-05;C01446;Marco;Rinaldi;marco.rinaldi1446@example.it;+393872799668;Monza;MB;Lombardia;PMI;2022-11-07;S004;Laura;Rossi;laura.rossi4@example.it;Lazio;P021;Sedia Ergonomica;Arredo;FormaOffice;349.00;2;5.00;W05;Torino Ovest;Torino;TO;Commerciale;Addebito diretto;Consegnato;2025-07-09;0.00;663.10
OL00000002;O0000001;2025-07-05;C01446;Marco;Rinaldi;marco.rinaldi1446@example.it;+393872799668;Monza;MB;Lombardia;PMI;2022-11-07;S004;Laura;Rossi;laura.rossi4@example.it;Lazio;P017;Smartphone Business;Mobile;NovaTech;649.00;8;0.00;W05;Torino Ovest;Torino;TO;Commerciale;Addebito diretto;Consegnato;2025-07-09;7.90;5199.90
OL00000003;O0000001;2025-07-05;C01446;Marco;Rinaldi;marco.rinaldi1446@example.it;+393872799668;Monza;MB;Lombardia;PMI;2022-11-07;S004;Laura;Rossi;laura.rossi4@example.it;Lazio;P019;UPS 1000VA;Energia;Voltix;189.00;5;0.00;W05;Torino Ovest;Torino;TO;Commerciale;Addebito diretto;Consegnato;2025-07-09;4.90;949.90
OL00000004;O0000001;2025-07-05;C01446;Marco;Rinaldi;marco.rinaldi1446@example.it;+393872799668;Monza;MB;Lombardia;PMI;2022-11-07;S004;Laura;Rossi;laura.rossi4@example.it;Lazio;P023;Hub HDMI;Accessori;Connecta;39.00;8;0.00;W05;Torino Ovest;Torino;TO;Commerciale;Addebito diretto;Consegnato;2025-07-09;0.00;312.00
OL00000005;O0000002;2024-09-13;C02405;Valentina;Ricci;valentina.ricci2405@example.it;+393450443702;Firenze;FI;Toscana;Enterprise;2024-08-14;S004;Laura;Rossi;laura.rossi4@example.it;Lazio;P013;Webcam Full HD;Video;Visionix;69.00;8;0.00;W01;Milano Nord;Milano;MI;Telefono;Carta;Consegnato;2024-09-19;12.90;564.90
OL00000006;O0000003;2024-07-13;C02353;Laura;Longo;laura.longo2353@example.it;+393761114624;Catania;CT;Sicilia;Microimpresa;2023-01-29;S037;Luca;Barbieri;luca.barbieri37@example.it;Sicilia;P008;NAS 2-Bay;Archiviazione;DataSafe;289.00;2;0.00;W04;Napoli Hub;Napoli;NA;Telefono;Bonifico;Consegnato;2024-07-14;7.90;585.90
OL00000007;O0000003;2024-07-13;C02353;Laura;Longo;laura.longo2353@example.it;+393761114624;Catania;CT;Sicilia;Microimpresa;2023-01-29;S037;Luca;Barbieri;luca.barbieri37@example.it;Sicilia;P025;Licenza Office Suite;Software;SoftBridge;149.00;7;0.00;W04;Napoli Hub;Napoli;NA;Telefono;Bonifico;Consegnato;2024-07-14;0.00;1043.00
OL00000008;O0000004;2025-08-23;C01839;Federico;Caruso;federico.caruso1839@example.it;+393377127301;Brescia;BS;Lombardia;PMI;2024-04-29;S014;Davide;Rinaldi;davide.rinaldi14@example.it;Lazio;P001;Notebook Pro 14;Informatica;NovaTech;899.00;1;0.00;W01;Milano Nord;Milano;MI;E-commerce;Bonifico;Spedito;2025-08-31;19.90;918.90
OL00000009;O0000004;2025-08-23;C01839;Federico;Caruso;federico.caruso1839@example.it;+393377127301;Brescia;BS;Lombardia;PMI;2024-04-29;S014;Davide;Rinaldi;davide.rinaldi14@example.it;Lazio;P011;Stampante Laser;Ufficio;Printiva;239.00;8;10.00;W01;Milano Nord;Milano;MI;E-commerce;Bonifico;Spedito;2025-08-31;0.00;1720.80
OL00000010;O0000005;2025-10-19;C00577;Elena;Romano;elena.romano577@example.it;+393394997684;Torino;TO;Piemonte;PMI;2022-10-09;S001;Alessandro;Gallo;alessandro.gallo1@example.it;Lombardia;P019;UPS 1000VA;Energia;Voltix;189.00;2;20.00;W05;Torino Ovest;Torino;TO;Telefono;PayPal;Reso;2025-10-26;12.90;315.30
